activeHost                              => active_host
aesCMAC                                 => aes_cmac
aesCMACLength                           => aes_cmac_length
allocSize                               => alloc_size
arg1Out                                 => arg1_out
arg2Out                                 => arg2_out
argIn                                   => arg_in
argOut                                  => arg_out
argOutPtr                               => arg_out_ptr
argPtr                                  => arg_ptr
argSize                                 => arg_size
argsHost                                => args_host
argsIn                                  => args_in
argsPtr                                 => args_ptr
argsRec                                 => args_rec
arrData                                 => arr_data
arrSize                                 => arr_size
asFields                                => as_fields
asUINT32                                => as_uint32
asn1Signature                           => asn1_signature
asn1SignatureSize                       => asn1_signature_size
attestationKey                          => attestation_key
authorID                                => author_id
bHost                                   => b_host
baseAddr                                => base_addr
baseECallPage                           => base_ecall_page
baseFree                                => base_free
baseHeapPage                            => base_heap_page
baseRelocPage                           => base_reloc_page
bufSize                                 => buf_size
bufferSize                              => buffer_size
bufferToSmall                           => buffer_to_small
bufferTooSmall                          => buffer_too_small
bytesRemaining                          => bytes_remaining
cStringIO                               => c_string_io
callEnclaveArgs                         => call_enclave_args
callHost                                => call_host
certImpl                                => cert_impl
certKey                                 => cert_key
chainImpl                               => chain_impl
checkQualifiers                         => check_qualifiers
checkType                               => check_type
chunkSize                               => chunk_size
codeIn                                  => code_in
codeOut                                 => code_out
computedAESCMAC                         => computed_aescmac
configSize                              => config_size
controlSize                             => control_size
copyKey                                 => copy_key
copyPrivateFields                       => copy_private_fields
countField                              => count_field
cpuidInfo                               => cpuid_info
cpuidLeaf                               => cpuid_leaf
cpuidRAX                                => cpuid_rax
cpuidSubLeaf                            => cpuid_sub_leaf
cpuidTable                              => cpuid_table
curDepth                                => cur_depth
curIsvSvn                               => cur_isv_svn
currentSet                              => current_set
d2i_ECDSA_SIG                           => d2_i_ecdsa_sig
dataFormat                              => data_format
dataIn                                  => data_in
dataOut                                 => data_out
dataSize                                => data_size
doVerifyAllocation                      => do_verify_allocation
dstLength                               => dst_length
dynamicCastWorks                        => dynamic_cast_works
eHost                                   => e_host
ecDest                                  => ec_dest
ecPrivate                               => ec_private
ecPublic                                => ec_public
ecSrc                                   => ec_src
ecType                                  => ec_type
ecallData                               => ecall_data
ecallPages                              => ecall_pages
ecallSize                               => ecall_size
egetkeyResult                           => egetkey_result
elemSize                                => elem_size
encArg                                  => enc_arg
encArgObj                               => enc_arg_obj
encPckCrl                               => enc_pck_crl
encPckCrlSize                           => enc_pck_crl_size
encPemPckCertificate                    => enc_pem_pck_certificate
encQuote                                => enc_quote
encTcbInfoJson                          => enc_tcb_info_json
encTcbInfoJsonSize                      => enc_tcb_info_json_size
enclaveAddr                             => enclave_addr
enclaveEnd                              => enclave_end
enclaveError                            => enclave_error
enclaveId                               => enclave_id
enclaveIds                              => enclave_ids
enclaveName                             => enclave_name
enclaveOut                              => enclave_out
enclavePath                             => enclave_path
enclavePathLength                       => enclave_path_length
enclaveReport                           => enclave_report
enclaveReportSize                       => enclave_report_size
enclaveSize                             => enclave_size
enclaveStart                            => enclave_start
enclaveType                             => enclave_type
encryptedData                           => encrypted_data
encryptedDataBuffer                     => encrypted_data_buffer
encryptedDataSize                       => encrypted_data_size
entryAddr                               => entry_addr
epidGroupID                             => epid_group_id
epidIdentifier                          => epid_identifier
exceptionContext                        => exception_context
exitAddress                             => exit_address
exitCode                                => exit_code
exitInfo                                => exit_info
exitType                                => exit_type
expectedCrc                             => expected_crc
expectedCrcs                            => expected_crcs
expectedResult                          => expected_result
expectedRootPublicKey                   => expected_root_public_key
