MyOE_HostAllocForCallHost         => MyHostAllocForCallHost
MyOE_HostFree                     => MyHostFree
MyOE_HostFreeForCallHost          => MyHostFreeForCallHost
MyOE_HostMalloc                   => MyHostMalloc
OE_AESCMACSign                    => oe_aes_cmac_sign
OE_Abort                          => oe_abort
OE_AddVectoredExceptionHandler    => oe_add_vectored_exception_handler
OE_AlignPointer                   => oe_align_pointer
OE_AllocProc                      => oe_alloc_proc
OE_AllocationFailureCallback      => oe_allocation_failure_callback_t
OE_Assert                         => oe_assert
OE_AtExit                         => oe_atexit
OE_AtExitEntry                    => oe_atexit_entry_t
OE_AtomicDecrement                => oe_atomic_decrement
OE_AtomicIncrement                => oe_atomic_increment
OE_ByteSwap32                     => oe_byte_swap32
OE_CallAtExitFunctions            => oe_call_at_exit_functions
OE_CallEnclave                    => oe_call_enclave
OE_CallEnclaveArgs                => oe_call_enclave_args_t
OE_CallFiniFunctions              => oe_call_fini_functions
OE_CallHost                       => oe_call_host
OE_CallHostArgs                   => oe_call_host_args_t
OE_CallInitFunctions              => oe_call_init_functions
OE_Calls                          => oe_calls
OE_Cert                           => oe_cert_t
OE_CertChain                      => oe_cert_chain_t
OE_CertChainFree                  => oe_cert_chain_free
OE_CertChainGetCert               => oe_cert_chain_get_cert
OE_CertChainGetLeafCert           => oe_cert_chain_get_leaf_cert
OE_CertChainGetLength             => oe_cert_chain_get_length
OE_CertChainGetRootCert           => oe_cert_chain_get_root_cert
OE_CertChainReadPEM               => oe_cert_chain_read_pem
OE_CertFree                       => oe_cert_free
OE_CertGetECPublicKey             => oe_cert_get_ec_public_key
OE_CertGetRSAPublicKey            => oe_cert_get_rsa_public_key
OE_CertReadPEM                    => oe_cert_read_pem
OE_CertVerify                     => oe_cert_verify
OE_CheckLLD                       => oe_check_lld
OE_CheckLLU                       => oe_check_llu
OE_CheckPostConstraints           => oe_check_post_constraints
OE_CheckPreConstraints            => oe_check_pre_constraints
OE_CheckStruct                    => oe_check_struct
OE_Checksum                       => oe_checksum
OE_ClearArg                       => oe_clear_arg
OE_ClearArgByName                 => oe_clear_arg_by_name
OE_ClockgettimeArgs               => oe_clock_gettime_args_t
OE_CloneStruct                    => oe_clone_struct
OE_Code                           => oe_code_t
OE_Cond                           => oe_cond_t
OE_CondBroadcast                  => oe_cond_broadcast
OE_CondDestroy                    => oe_cond_destroy
OE_CondImpl                       => oe_cond_impl_t
OE_CondInit                       => oe_cond_init
OE_CondSignal                     => oe_cond_signal
OE_CondWait                       => oe_cond_wait
OE_ConstantTimeMemEqual           => oe_constant_time_mem_equal
OE_Context                        => oe_context_t
OE_ContinueExecution              => oe_continue_execution
OE_CopyInput                      => oe_copy_input
OE_CopyKey                        => oe_copy_key
OE_CopyStruct                     => oe_copy_struct
OE_CreateEnclave                  => oe_create_enclave
OE_DeallocProc                    => oe_dealloc_proc_t
OE_DestroyStruct                  => oe_destroy_struct
OE_DivideByZero                   => oe_divide_by_zero
OE_Dupenv                         => oe_dupenv
OE_ECDSASignatureReadDER          => oe_ecdsa_signature_read_der
OE_ECDSASignatureWriteDER         => oe_ecdsa_signature_write_der
OE_ECGenerateKeyPair              => oe_ec_generate_key_pair
OE_ECPrivateKey                   => oe_ec_private_key_t
OE_ECPrivateKeyFree               => oe_ec_private_key_free
OE_ECPrivateKeyReadPEM            => oe_ec_private_key_read_pem
OE_ECPrivateKeySign               => oe_ec_private_key_sign
OE_ECPrivateKeyWritePEM           => oe_ec_private_key_write_pem
